Dirección,Territorio (1 al 7),Coordenadas (click derecho en maps),Nombre,Categoría,Icono (JPG o PNG),Foto (Si aplica)**,Descripción
Enrique Soro (Falta número de dirección),1,"-33.48268516476262, -70.62744659441114",Atencion de Emergencía DRGD,Seguridad,00137_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,"Creación de mesa territorial T1; realizada por Dirección de Gestión de Riesgo de desastres (DGRD), Sede Social Pobl. I. Riquelme"
Sierra Bella 2815 ,1,"-33.48274418587143, -70.63251119399814",Actividades Comunitarias DGRD,Seguridad,00137_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,"1ra Feria comunal de Gestion del Riesgo de Desastres-San Joaquín, Sierra Bella 2815"
Sierra Bella 2815 ,1,"-33.48274418587143, -70.63251119399814",Actividades Comunitarias DGRD,Seguridad,00137_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,"Capacitación Prevención de Riesgos-San Joaquín, Sierra Bella 2815"
Sierra Bella 2815 ,1,"-33.48274418587143, -70.63251119399814",Actividades Comunitarias DGRD,Seguridad,00137_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,Charla Reducción de Riesgos Eléctricos para la comunidad ; Sierra Bella 2815
Sierra Bella 2888,1,"-33.483165073374245, -70.63166741981955",Actividades Comunitarias DGRD,Seguridad,00137_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,Capacitación de reducción de Riesgo y material de emergencia ; Sierra Bella 2888
Santa Rosa con Rivas,1,"-33.47934801551254, -70.6410810861411",Actividades Comunitarias DGRD,Seguridad,00137_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,Charla de prevencion y manejo de extintor 
Borodín frente al 2895,1,"-33.47982373790123, -70.62869681928773",Lomos de Toro Asfalto Ejecucion 2024,Desarrollo Urbano,0077 LOMO DE TORO.png,,Lomos de toro asfalto ejecución 2024
Borodin frente al 2776,1,"-33.478780825596594, -70.62897090309518",Lomos de Toro Asfalto Ejecucion 2024,Desarrollo Urbano,0077 LOMO DE TORO.png,,Lomos de toro asfalto ejecución 2024
Chopin frente al 2843,1,"-33.477889129204854, -70.62359754588438",Lomos de Toro Asfalto Ejecucion 2024,Desarrollo Urbano,0077 LOMO DE TORO.png,,Lomos de toro asfalto ejecución 2024
Carlos Fernandez con Santa Elena,1,"-33.47344806719748, -70.62615978438748",Mitigaciones Asociadas a Construcción de Edificios A Ejecturce 2025,Desarrollo Urbano,Pendiente de Creación (reposicion de canaletas aguas lluvias),,Reposición canaletas de aguas lluvias 
