Dirección,Territorio (1 al 7),Coordenadas (click derecho en maps),Nombre,Categoría,Icono (JPG o PNG),Foto (Si aplica)**,Descripción
Santa Corina con Tocornal ,1,"-33.47895691184349, -70.63240744652862",ACTIVIDADES COMUNITARIAS DIDECO ,Social y Comunitario,0031 TALLER ADULTO MAYOR.png,,Talleres al adulto mayor de gimansia y mente activa
Plaza Luis Marchant,1,"-33.47636799362912, -70.63151813553667","Area participacion, promocion y prevencion",Social y Comunitario,00110_VERANO_EN_TU_BARRIO.png,,Verano en tu Barrio 
JJVV Manuel de Salas,1,"-33.47599004311474, -70.63590495977431","Area participacion, promocion y prevencion",Social y Comunitario,00181_TALLER_GUITARRA.png,,Taller de Guitarra 
Centro Educacional Provincia de Ñuble,1,"-33.478316618514164, -70.63611608756415","Area participacion, promocion y prevencion",Social y Comunitario,00148_PROGRAMA_HABILIDADES_PARA_LA_VIDA.png,,Programa Habilidades para la Vida (HPV)
Sierra Bella (Plaza Isabel Riquelme),1,"-33.47899898816299, -70.63804183932035","Area participacion, promocion y prevencion",Social y Comunitario,00149_DIA_INTERNACIONAL_DE_INMIGRANTES.png,,Se celebra el dia Internacional de Inmigrante
JJVV San Pedro *,1,"-33.47455120761015, -70.63318017008595","Area participacion, promocion y prevencion",Social y Comunitario,00160_CHARLA_INFORMATIVA.png,,Charla Preventiva sobre la Trata de personas
Sierra Bella (Plaza Isabel Riquelme),1,"-33.48253738677336, -70.6318368345598",Actividades oficina de la discapacidad e inclusion,Social y Comunitario,00173_ACTIVIDADES_OF_DISCAPACIDAD_INCLUSION.png,,"Encuentro presencial del termino de 15 sesiones del taller ""comienzo por mí"""
"Piscina Municipal Temperada, Carlos Valdovinos 287",1,"-33.48364585146848, -70.63020641539326",Actividades oficina de la discapacidad e inclusion,Social y Comunitario,0028 TALLER DE PISCINA.png,,"Taller Activate en el medio acuatico, actividad recreativa , junto a colegio Jorge Otte, conformacion organizacion vida acuatica, primer polideportivo inclusivo"
JJVV Las Flores ,1,"-33.48219968770502, -70.62473951459252",Operativos Sociales ,Social y Comunitario,00107 OPERATIVOS SOCIALES.png,,"Operativos sociales, con multiples servicios, como Registro social de hogares, Desarrollo Social, Oficina de Discapacidad e inclusión, Chile crece contigo, entre otros apoyos."
JJVV San Francisco de California ,1,"-33.47814698722821, -70.63842283092244",Operativos Sociales ,Social y Comunitario,00107 OPERATIVOS SOCIALES.png,,"Operativos sociales, con multiples servicios, como Registro social de hogares, Desarrollo Social, Oficina de Discapacidad e inclusión, Chile crece contigo, entre otros apoyos."
JJVV San Pedro,1,"-33.47490176381543, -70.63276762806007",Operativos Sociales ,Social y Comunitario,00107 OPERATIVOS SOCIALES.png,,"Operativos sociales, con multiples servicios, como Registro social de hogares, Desarrollo Social, Oficina de Discapacidad e inclusión, Chile crece contigo, entre otros apoyos."
